From_City,Destination,Destination_Type,Trip_Duration_Days,Activities_Count,Accommodation,Transport_Mode,Package_Type,Budget,Season
bengaluru,goa,Coastal,5,3,Resort,Flight,Standard,44400,Monsoon
bengaluru,goa,Coastal,2,8,Hotel,Car,Standard,28800,Monsoon
bengaluru,goa,Coastal,4,8,Hotel,Flight,Luxury,103680,Monsoon
bengaluru,goa,Coastal,3,5,Camping,Flight,Luxury,49920,Monsoon
bengaluru,goa,Coastal,9,6,Camping,Train,Luxury,53680,Monsoon
bengaluru,goa,Coastal,2,7,Resort,Car,Luxury,66000,Monsoon
bengaluru,goa,Coastal,10,8,Hotel,Train,Luxury,95040,Monsoon
bengaluru,goa,Coastal,7,2,Hotel,Train,Premium,36036,Monsoon
bengaluru,goa,Coastal,4,5,Resort,Car,Luxury,63000,Monsoon
bengaluru,goa,Coastal,6,6,Hotel,Bus,Luxury,49920,Monsoon
bengaluru,goa,Adventure,3,8,Hotel,Train,Luxury,67320,Summer
bengaluru,goa,Adventure,10,6,Hotel,Bus,Standard,30720,Summer
bengaluru,goa,Adventure,7,8,Hotel,Bus,Luxury,60480,Summer
bengaluru,goa,Adventure,10,2,Camping,Train,Premium,29567,Summer
bengaluru,goa,Adventure,2,2,Hotel,Train,Premium,22176,Summer
bengaluru,goa,Adventure,5,2,Resort,Bus,Luxury,39600,Summer
bengaluru,goa,Adventure,3,2,Hotel,Flight,Standard,25920,Summer
bengaluru,goa,Adventure,10,8,Hotel,Bus,Standard,34560,Summer
bengaluru,goa,Adventure,9,6,Hotel,Bus,Premium,40992,Summer
bengaluru,goa,Adventure,10,8,Hotel,Flight,Standard,69120,Summer
bengaluru,goa,Historical,10,8,Camping,Bus,Luxury,46080,Winter
bengaluru,goa,Historical,6,5,Resort,Train,Premium,55440,Winter
bengaluru,goa,Historical,10,5,Camping,Car,Standard,24000,Winter
bengaluru,goa,Historical,5,2,Resort,Train,Standard,27225,Winter
bengaluru,goa,Historical,10,3,Hotel,Bus,Standard,24960,Winter
bengaluru,goa,Historical,3,7,Camping,Car,Standard,18800,Winter
bengaluru,goa,Historical,3,2,Hotel,Train,Standard,17820,Winter
bengaluru,goa,Historical,10,3,Hotel,Train,Luxury,68640,Winter
bengaluru,goa,Historical,9,3,Hotel,Bus,Luxury,47040,Winter
bengaluru,goa,Historical,9,3,Hotel,Flight,Premium,65856,Winter
bengaluru,mumbai,City,5,2,Hotel,Car,Luxury,39600,Winter
bengaluru,mumbai,City,8,4,Hotel,Flight,Premium,67200,Winter
bengaluru,mumbai,City,9,8,Resort,Car,Luxury,103500,Winter
bengaluru,mumbai,City,3,2,Hotel,Flight,Luxury,51840,Winter
bengaluru,mumbai,City,7,8,Hotel,Car,Standard,37800,Winter
bengaluru,mumbai,City,5,3,Hotel,Flight,Standard,35520,Winter
bengaluru,mumbai,City,8,3,Hotel,Train,Premium,42504,Winter
bengaluru,mumbai,City,5,8,Resort,Car,Premium,59849,Winter
bengaluru,mumbai,City,10,2,Hotel,Car,Luxury,57600,Winter
bengaluru,mumbai,City,10,8,Camping,Car,Standard,28800,Winter
bengaluru,mumbai,Coastal,5,3,Resort,Flight,Premium,62159,Monsoon
bengaluru,mumbai,Coastal,9,3,Hotel,Flight,Standard,47040,Monsoon
bengaluru,mumbai,Coastal,4,5,Hotel,Car,Premium,35280,Monsoon
bengaluru,mumbai,Coastal,6,8,Resort,Flight,Premium,100800,Monsoon
bengaluru,mumbai,Coastal,8,7,Resort,Flight,Standard,74400,Monsoon
bengaluru,mumbai,Coastal,5,4,Resort,Bus,Standard,24600,Monsoon
bengaluru,mumbai,Coastal,10,2,Resort,Train,Standard,39600,Monsoon
bengaluru,mumbai,Coastal,2,6,Hotel,Flight,Luxury,76800,Monsoon
bengaluru,mumbai,Coastal,10,3,Hotel,Car,Luxury,62400,Monsoon
bengaluru,mumbai,Coastal,3,8,Hotel,Bus,Standard,24480,Monsoon
bengaluru,mumbai,Cultural,3,7,Resort,Bus,Premium,39480,Winter
bengaluru,mumbai,Cultural,3,6,Resort,Bus,Luxury,51600,Winter
bengaluru,mumbai,Cultural,2,6,Hotel,Car,Premium,33600,Winter
bengaluru,mumbai,Cultural,10,4,Hotel,Train,Standard,36960,Winter
bengaluru,mumbai,Cultural,7,3,Hotel,Train,Premium,39732,Winter
bengaluru,mumbai,Cultural,4,7,Hotel,Train,Premium,46200,Winter
bengaluru,mumbai,Cultural,7,8,Resort,Car,Standard,47250,Winter
bengaluru,mumbai,Cultural,9,6,Resort,Car,Standard,45750,Winter
bengaluru,mumbai,Cultural,10,3,Resort,Train,Standard,42900,Winter
bengaluru,mumbai,Cultural,7,2,Hotel,Bus,Premium,26208,Winter
bengaluru,mumbai,Historical,6,3,Hotel,Flight,Luxury,76800,Winter
bengaluru,mumbai,Historical,6,6,Resort,Car,Luxury,78000,Winter
bengaluru,mumbai,Historical,10,4,Resort,Car,Standard,42000,Winter
bengaluru,mumbai,Historical,6,2,Hotel,Car,Luxury,43200,Winter
bengaluru,mumbai,Historical,10,3,Resort,Train,Premium,60059,Winter
bengaluru,mumbai,Historical,5,7,Hotel,Train,Standard,34980,Winter
bengaluru,mumbai,Historical,6,6,Hotel,Flight,Premium,69888,Winter
bengaluru,mumbai,Historical,2,2,Hotel,Flight,Premium,32255,Winter
bengaluru,mumbai,Historical,2,2,Hotel,Train,Standard,15840,Winter
bengaluru,mumbai,Adventure,8,6,Hotel,Car,Standard,34800,Summer
bengaluru,mumbai,Adventure,3,7,Resort,Bus,Luxury,56400,Summer
bengaluru,mumbai,Adventure,2,8,Hotel,Train,Luxury,63360,Summer
bengaluru,mumbai,Adventure,10,3,Hotel,Flight,Standard,49920,Summer
bengaluru,mumbai,Adventure,2,4,Camping,Train,Standard,14080,Summer
bengaluru,mumbai,Adventure,7,3,Hotel,Bus,Luxury,41280,Summer
bengaluru,mumbai,Adventure,3,4,Hotel,Flight,Luxury,67200,Summer
bengaluru,mumbai,Adventure,4,3,Resort,Bus,Standard,20400,Summer
bengaluru,mumbai,Adventure,8,2,Hotel,Bus,Luxury,40320,Summer
bengaluru,mumbai,Adventure,7,8,Hotel,Flight,Luxury,120960,Summer
bengaluru,mumbai,Beach,5,4,Hotel,Bus,Luxury,39360,Winter
bengaluru,mumbai,Beach,3,5,Hotel,Car,Premium,32759,Winter
bengaluru,mumbai,Beach,5,3,Camping,Flight,Premium,33152,Winter
bengaluru,mumbai,Beach,6,8,Resort,Bus,Standard,36000,Winter
bengaluru,mumbai,Beach,2,7,Resort,Bus,Premium,36960,Winter
bengaluru,mumbai,Beach,7,4,Resort,Car,Premium,49350,Winter
bengaluru,mumbai,Beach,7,7,Resort,Flight,Luxury,141600,Winter
bengaluru,mumbai,Beach,10,4,Hotel,Car,Standard,33600,Winter
bengaluru,mumbai,Beach,6,3,Resort,Train,Standard,33000,Winter
bengaluru,mumbai,Beach,3,6,Hotel,Flight,Premium,57791,Winter
bengaluru,bengaluru,City,7,5,Resort,Car,Premium,53550,Winter
bengaluru,bengaluru,City,5,4,Resort,Car,Luxury,61500,Winter
bengaluru,bengaluru,City,8,2,Hotel,Bus,Premium,28224,Winter
bengaluru,bengaluru,City,8,2,Hotel,Train,Luxury,55440,Winter
bengaluru,bengaluru,City,7,7,Hotel,Car,Luxury,70800,Winter
bengaluru,bengaluru,City,6,6,Hotel,Train,Luxury,68640,Winter
bengaluru,bengaluru,City,8,4,Resort,Flight,Luxury,120000,Winter
bengaluru,bengaluru,City,6,6,Resort,Bus,Standard,31200,Winter
bengaluru,bengaluru,City,8,7,Hotel,Flight,Luxury,119040,Winter
bengaluru,bengaluru,City,4,6,Hotel,Train,Premium,42504,Winter
bengaluru,bengaluru,Cultural,10,8,Hotel,Car,Premium,60479,Winter
bengaluru,bengaluru,Cultural,6,3,Hotel,Flight,Luxury,76800,Winter
bengaluru,bengaluru,Cultural,7,5,Hotel,Flight,Premium,68544,Winter
bengaluru,bengaluru,Cultural,5,6,Hotel,Flight,Luxury,94080,Winter
bengaluru,bengaluru,Cultural,4,7,Camping,Car,Premium,28000,Winter
bengaluru,bengaluru,Cultural,10,7,Hotel,Train,Standard,44880,Winter
bengaluru,bengaluru,Cultural,5,7,Hotel,Train,Standard,34980,Winter
bengaluru,bengaluru,Cultural,5,3,Resort,Car,Standard,27750,Winter
bengaluru,bengaluru,Cultural,5,5,Hotel,Car,Premium,37800,Winter
bengaluru,bengaluru,Cultural,8,7,Camping,Bus,Luxury,39680,Winter
bengaluru,bengaluru,Historical,8,5,Camping,Flight,Standard,34560,Winter
bengaluru,bengaluru,Historical,4,7,Hotel,Car,Standard,30000,Winter
bengaluru,bengaluru,Historical,8,3,Hotel,Bus,Luxury,44160,Winter
bengaluru,bengaluru,Historical,10,5,Hotel,Car,Luxury,72000,Winter
bengaluru,bengaluru,Historical,5,8,Hotel,Car,Premium,47880,Winter
bengaluru,bengaluru,Historical,4,8,Hotel,Flight,Luxury,103680,Winter
bengaluru,bengaluru,Historical,10,6,Resort,Train,Premium,73920,Winter
bengaluru,bengaluru,Historical,10,5,Hotel,Flight,Standard,57600,Winter
bengaluru,bengaluru,Historical,9,5,Hotel,Train,Standard,37620,Winter
bengaluru,bengaluru,Historical,6,8,Hotel,Flight,Luxury,115200,Winter
bengaluru,bengaluru,Adventure,5,4,Camping,Flight,Standard,26240,Summer
bengaluru,bengaluru,Adventure,6,3,Hotel,Train,Premium,36960,Summer
bengaluru,bengaluru,Adventure,7,6,Hotel,Car,Standard,33000,Summer
bengaluru,bengaluru,Adventure,4,3,Hotel,Flight,Luxury,65280,Summer
bengaluru,bengaluru,Adventure,4,7,Camping,Bus,Standard,16000,Summer
bengaluru,bengaluru,Adventure,8,5,Hotel,Train,Luxury,71280,Summer
bengaluru,bengaluru,Adventure,9,5,Resort,Car,Standard,42750,Summer
bengaluru,bengaluru,Adventure,8,5,Resort,Car,Luxury,81000,Summer
bengaluru,bengaluru,Adventure,8,5,Hotel,Car,Premium,45360,Summer
bengaluru,bengaluru,Adventure,6,8,Resort,Flight,Premium,100800,Summer
bengaluru,bengaluru,Hill Station,10,7,Hotel,Bus,Premium,45696,Summer
bengaluru,bengaluru,Hill Station,5,4,Resort,Flight,Premium,68880,Summer
bengaluru,bengaluru,Hill Station,2,5,Resort,Train,Luxury,59400,Summer
bengaluru,bengaluru,Hill Station,8,7,Hotel,Bus,Premium,41664,Summer
bengaluru,bengaluru,Hill Station,4,6,Hotel,Car,Premium,38640,Summer
bengaluru,bengaluru,Hill Station,2,2,Resort,Flight,Standard,28800,Summer
bengaluru,bengaluru,Hill Station,9,3,Hotel,Car,Premium,41160,Summer
bengaluru,bengaluru,Hill Station,8,4,Hotel,Bus,Premium,33600,Summer
bengaluru,bengaluru,Hill Station,7,4,Hotel,Flight,Premium,63167,Summer
bengaluru,bengaluru,Hill Station,8,4,Hotel,Car,Premium,42000,Summer
bengaluru,bengaluru,Coastal,2,7,Resort,Car,Premium,46200,Monsoon
bengaluru,bengaluru,Coastal,5,7,Hotel,Car,Luxury,63600,Monsoon
bengaluru,bengaluru,Coastal,2,8,Hotel,Car,Standard,28800,Monsoon
bengaluru,bengaluru,Coastal,5,8,Hotel,Car,Luxury,68400,Monsoon
bengaluru,bengaluru,Coastal,4,3,Resort,Bus,Premium,28560,Monsoon
bengaluru,bengaluru,Coastal,3,6,Hotel,Bus,Premium,28895,Monsoon
bengaluru,bengaluru,Coastal,6,8,Resort,Train,Standard,49500,Monsoon
bengaluru,bengaluru,Coastal,3,8,Hotel,Bus,Premium,34272,Monsoon
bengaluru,bengaluru,Coastal,3,6,Camping,Car,Premium,24080,Monsoon
bengaluru,bengaluru,Coastal,8,5,Hotel,Bus,Standard,25920,Monsoon
bengaluru,delhi,City,5,2,Hotel,Train,Luxury,43560,Winter
bengaluru,delhi,City,3,8,Hotel,Car,Premium,42840,Winter
bengaluru,delhi,City,10,5,Camping,Train,Standard,26400,Winter
bengaluru,delhi,City,10,7,Resort,Train,Standard,56100,Winter
bengaluru,delhi,City,8,8,Hotel,Flight,Standard,63360,Winter
bengaluru,delhi,City,8,4,Resort,Flight,Luxury,120000,Winter
bengaluru,delhi,City,4,5,Resort,Bus,Luxury,50400,Winter
bengaluru,delhi,City,10,7,Hotel,Train,Luxury,89760,Winter
bengaluru,delhi,City,10,8,Hotel,Flight,Premium,96768,Winter
bengaluru,delhi,City,8,8,Hotel,Train,Premium,60983,Winter
bengaluru,delhi,Cultural,5,8,Hotel,Car,Premium,47880,Winter
bengaluru,delhi,Cultural,9,3,Resort,Flight,Luxury,117600,Winter
bengaluru,delhi,Cultural,8,4,Camping,Car,Premium,28000,Winter
bengaluru,delhi,Cultural,7,3,Resort,Flight,Standard,51600,Winter
bengaluru,delhi,Cultural,7,8,Hotel,Train,Premium,58211,Winter
bengaluru,delhi,Cultural,6,6,Hotel,Train,Luxury,68640,Winter
bengaluru,delhi,Cultural,2,6,Resort,Bus,Standard,24000,Winter
bengaluru,delhi,Cultural,5,7,Resort,Flight,Premium,89040,Winter
bengaluru,delhi,Cultural,10,8,Resort,Bus,Luxury,86400,Winter
bengaluru,delhi,Cultural,9,7,Resort,Flight,Premium,109200,Winter
bengaluru,delhi,Historical,2,2,Resort,Train,Standard,19800,Winter
bengaluru,delhi,Historical,8,7,Hotel,Bus,Premium,41664,Winter
bengaluru,delhi,Historical,7,5,Hotel,Train,Premium,47124,Winter
bengaluru,delhi,Historical,10,4,Resort,Train,Luxury,92400,Winter
bengaluru,delhi,Historical,9,4,Resort,Train,Premium,61214,Winter
bengaluru,delhi,Historical,5,2,Hotel,Bus,Premium,22176,Winter
bengaluru,delhi,Historical,3,7,Hotel,Bus,Standard,22560,Winter
bengaluru,delhi,Historical,5,7,Resort,Flight,Premium,89040,Winter
bengaluru,delhi,Historical,10,6,Hotel,Train,Standard,42240,Winter
bengaluru,delhi,Historical,5,4,Hotel,Bus,Premium,27552,Winter
bengaluru,delhi,Adventure,4,4,Hotel,Car,Luxury,45600,Summer
bengaluru,delhi,Adventure,10,3,Resort,Train,Standard,42900,Summer
bengaluru,delhi,Adventure,2,6,Resort,Train,Luxury,66000,Summer
bengaluru,delhi,Adventure,4,7,Hotel,Flight,Standard,48000,Summer
bengaluru,delhi,Adventure,2,6,Resort,Train,Premium,46200,Summer
bengaluru,delhi,Adventure,9,5,Hotel,Train,Standard,37620,Summer
bengaluru,delhi,Adventure,2,4,Hotel,Flight,Standard,30720,Summer
bengaluru,delhi,Adventure,3,5,Resort,Flight,Standard,46800,Summer
bengaluru,delhi,Adventure,2,3,Resort,Bus,Luxury,33600,Summer
bengaluru,delhi,Adventure,6,2,Resort,Bus,Standard,21600,Summer
bengaluru,delhi,Desert,10,8,Resort,Flight,Luxury,172800,Summer
bengaluru,delhi,Desert,5,8,Hotel,Flight,Premium,76608,Summer
bengaluru,delhi,Desert,9,4,Hotel,Flight,Premium,71232,Summer
bengaluru,delhi,Desert,2,6,Hotel,Car,Standard,24000,Summer
bengaluru,delhi,Desert,5,4,Hotel,Car,Standard,24600,Summer
bengaluru,delhi,Desert,5,3,Hotel,Car,Standard,22200,Summer
bengaluru,delhi,Desert,2,5,Camping,Flight,Luxury,46080,Summer
bengaluru,delhi,Desert,9,4,Hotel,Car,Standard,31800,Summer
bengaluru,delhi,Desert,6,7,Resort,Train,Luxury,92400,Summer
bengaluru,delhi,Desert,9,2,Resort,Bus,Premium,37800,Summer
bengaluru,delhi,Mountain,5,5,Resort,Car,Luxury,67500,Summer
bengaluru,delhi,Mountain,5,7,Hotel,Bus,Premium,35616,Summer
bengaluru,delhi,Mountain,4,2,Hotel,Car,Standard,18000,Summer
bengaluru,delhi,Mountain,6,6,Hotel,Train,Premium,48048,Summer
bengaluru,delhi,Mountain,3,5,Hotel,Train,Luxury,51480,Summer
bengaluru,delhi,Mountain,8,4,Resort,Flight,Premium,84000,Summer
bengaluru,delhi,Mountain,3,6,Hotel,Car,Premium,36120,Summer
bengaluru,delhi,Mountain,7,6,Hotel,Train,Standard,36300,Summer
bengaluru,delhi,Mountain,3,3,Resort,Car,Luxury,46500,Summer
bengaluru,delhi,Mountain,6,6,Hotel,Car,Standard,31200,Summer
bengaluru,chennai,City,9,6,Camping,Flight,Premium,54656,Winter
bengaluru,chennai,City,4,6,Camping,Flight,Luxury,58880,Winter
bengaluru,chennai,City,9,2,Camping,Flight,Premium,40320,Winter
bengaluru,chennai,City,8,4,Hotel,Train,Luxury,66000,Winter
bengaluru,chennai,City,3,8,Hotel,Bus,Premium,34272,Winter
bengaluru,chennai,City,8,7,Camping,Flight,Premium,55552,Winter
bengaluru,chennai,City,8,8,Hotel,Car,Premium,55440,Winter
bengaluru,chennai,City,3,4,Camping,Train,Premium,21560,Winter
bengaluru,chennai,City,3,8,Camping,Flight,Luxury,65280,Winter
bengaluru,chennai,City,2,7,Resort,Flight,Premium,73920,Winter
bengaluru,chennai,Coastal,2,3,Hotel,Train,Luxury,36960,Monsoon
bengaluru,chennai,Coastal,9,7,Hotel,Flight,Standard,62400,Monsoon
bengaluru,chennai,Coastal,5,4,Resort,Bus,Premium,34440,Monsoon
bengaluru,chennai,Coastal,2,7,Hotel,Bus,Luxury,42240,Monsoon
bengaluru,chennai,Coastal,4,4,Hotel,Car,Luxury,45600,Monsoon
bengaluru,chennai,Coastal,8,2,Camping,Bus,Standard,13440,Monsoon
bengaluru,chennai,Coastal,9,2,Resort,Bus,Premium,37800,Monsoon
bengaluru,chennai,Coastal,6,6,Hotel,Train,Premium,48048,Monsoon
bengaluru,chennai,Coastal,9,5,Hotel,Bus,Premium,38304,Monsoon
bengaluru,chennai,Beach,10,3,Resort,Flight,Standard,62400,Winter
bengaluru,chennai,Beach,10,7,Camping,Bus,Standard,21760,Winter
bengaluru,chennai,Beach,6,8,Hotel,Flight,Premium,80640,Winter
bengaluru,chennai,Beach,10,4,Hotel,Car,Premium,47040,Winter
bengaluru,chennai,Beach,6,8,Resort,Flight,Standard,72000,Winter
bengaluru,chennai,Beach,9,6,Resort,Flight,Premium,102480,Winter
bengaluru,chennai,Beach,7,6,Resort,Flight,Premium,92400,Winter
bengaluru,chennai,Beach,7,8,Resort,Bus,Luxury,75600,Winter
bengaluru,chennai,Beach,5,6,Hotel,Flight,Standard,47040,Winter
bengaluru,chennai,Beach,8,2,Hotel,Train,Luxury,55440,Winter
bengaluru,chennai,Cultural,9,7,Resort,Flight,Premium,109200,Winter
bengaluru,chennai,Cultural,4,5,Resort,Car,Standard,31500,Winter
bengaluru,chennai,Cultural,10,6,Resort,Train,Standard,52800,Winter
bengaluru,chennai,Cultural,9,2,Camping,Flight,Standard,28800,Winter
bengaluru,chennai,Cultural,4,5,Hotel,Bus,Standard,20160,Winter
bengaluru,chennai,Cultural,9,8,Hotel,Train,Premium,63756,Winter
bengaluru,chennai,Cultural,8,7,Resort,Car,Premium,65099,Winter
bengaluru,chennai,Cultural,10,5,Resort,Train,Luxury,99000,Winter
bengaluru,chennai,Cultural,9,8,Resort,Car,Luxury,103500,Winter
bengaluru,chennai,Cultural,3,3,Resort,Train,Standard,25575,Winter
bengaluru,chennai,Historical,3,5,Resort,Car,Luxury,58500,Winter
bengaluru,chennai,Historical,3,5,Hotel,Bus,Luxury,37440,Winter
bengaluru,chennai,Historical,6,2,Hotel,Car,Premium,30239,Winter
bengaluru,chennai,Historical,2,4,Hotel,Train,Premium,29567,Winter
bengaluru,chennai,Historical,8,3,Hotel,Bus,Luxury,44160,Winter
bengaluru,chennai,Historical,8,6,Hotel,Bus,Standard,27840,Winter
bengaluru,chennai,Historical,4,2,Hotel,Flight,Luxury,57600,Winter
bengaluru,chennai,Historical,5,5,Hotel,Bus,Standard,21600,Winter
bengaluru,chennai,Historical,9,7,Hotel,Train,Premium,60059,Winter
bengaluru,chennai,Historical,6,7,Hotel,Car,Premium,47040,Winter
bengaluru,chennai,Backwater,6,7,Hotel,Bus,Standard,26880,Monsoon
bengaluru,chennai,Backwater,9,4,Hotel,Train,Luxury,69960,Monsoon
bengaluru,chennai,Backwater,8,7,Resort,Train,Premium,71610,Monsoon
bengaluru,chennai,Backwater,6,3,Hotel,Flight,Premium,53760,Monsoon
bengaluru,chennai,Backwater,3,3,Hotel,Flight,Luxury,59520,Monsoon
bengaluru,chennai,Backwater,7,6,Hotel,Train,Luxury,72600,Monsoon
bengaluru,chennai,Backwater,6,2,Resort,Flight,Premium,60479,Monsoon
bengaluru,chennai,Backwater,2,6,Hotel,Car,Luxury,48000,Monsoon
bengaluru,chennai,Backwater,9,8,Resort,Train,Standard,56925,Monsoon
bengaluru,chennai,Backwater,7,3,Hotel,Bus,Luxury,41280,Monsoon
bengaluru,kochi,Coastal,6,7,Hotel,Bus,Luxury,53760,Monsoon
bengaluru,kochi,Coastal,3,7,Hotel,Car,Premium,39480,Monsoon
bengaluru,kochi,Coastal,9,2,Hotel,Train,Luxury,59400,Monsoon
bengaluru,kochi,Coastal,4,2,Resort,Train,Premium,34650,Monsoon
bengaluru,kochi,Coastal,8,3,Resort,Bus,Standard,27600,Monsoon
bengaluru,kochi,Coastal,10,4,Camping,Train,Standard,24640,Monsoon
bengaluru,kochi,Coastal,6,8,Hotel,Flight,Premium,80640,Monsoon
bengaluru,kochi,Coastal,7,8,Hotel,Car,Premium,52920,Monsoon
bengaluru,kochi,Coastal,3,3,Resort,Bus,Luxury,37200,Monsoon
bengaluru,kochi,Coastal,8,8,Hotel,Train,Standard,43560,Monsoon
bengaluru,kochi,Cultural,8,2,Hotel,Train,Luxury,55440,Winter
bengaluru,kochi,Cultural,3,5,Hotel,Train,Luxury,51480,Winter
bengaluru,kochi,Cultural,6,6,Hotel,Flight,Luxury,99840,Winter
bengaluru,kochi,Cultural,7,2,Camping,Bus,Premium,17472,Winter
bengaluru,kochi,Cultural,2,6,Resort,Train,Luxury,66000,Winter
bengaluru,kochi,Cultural,5,7,Resort,Car,Luxury,79500,Winter
bengaluru,kochi,Cultural,9,7,Hotel,Train,Luxury,85800,Winter
bengaluru,kochi,Cultural,8,2,Hotel,Bus,Standard,20160,Winter
bengaluru,kochi,Cultural,2,4,Hotel,Flight,Standard,30720,Winter
bengaluru,kochi,Cultural,3,3,Hotel,Bus,Premium,20832,Winter
bengaluru,kochi,Historical,9,4,Hotel,Flight,Luxury,101760,Winter
bengaluru,kochi,Historical,4,5,Resort,Car,Premium,44100,Winter
bengaluru,kochi,Historical,8,4,Resort,Car,Luxury,75000,Winter
bengaluru,kochi,Historical,7,3,Hotel,Flight,Premium,57791,Winter
bengaluru,kochi,Historical,5,8,Camping,Train,Standard,25080,Winter
bengaluru,kochi,Historical,7,6,Resort,Train,Standard,45375,Winter
bengaluru,kochi,Historical,8,4,Hotel,Bus,Standard,24000,Winter
bengaluru,kochi,Historical,9,2,Resort,Bus,Luxury,54000,Winter
bengaluru,kochi,Historical,2,2,Hotel,Train,Standard,15840,Winter
bengaluru,kochi,Historical,4,8,Hotel,Bus,Standard,25920,Winter
bengaluru,kochi,Backwater,10,3,Hotel,Bus,Standard,24960,Monsoon
bengaluru,kochi,Backwater,7,8,Resort,Bus,Luxury,75600,Monsoon
bengaluru,kochi,Backwater,2,4,Hotel,Bus,Standard,15360,Monsoon
bengaluru,kochi,Backwater,10,4,Hotel,Bus,Standard,26880,Monsoon
bengaluru,kochi,Backwater,2,3,Hotel,Car,Premium,23520,Monsoon
bengaluru,kochi,Backwater,5,6,Hotel,Train,Standard,32340,Monsoon
bengaluru,kochi,Backwater,4,4,Resort,Car,Standard,28500,Monsoon
bengaluru,kochi,Backwater,8,6,Resort,Car,Luxury,87000,Monsoon
bengaluru,kochi,Backwater,3,5,Hotel,Flight,Premium,52416,Monsoon
bengaluru,kochi,Backwater,10,6,Hotel,Car,Premium,53760,Monsoon
bengaluru,kochi,Island,10,3,Hotel,Car,Luxury,62400,Winter
bengaluru,kochi,Island,10,4,Hotel,Flight,Luxury,107520,Winter
bengaluru,kochi,Island,2,2,Hotel,Flight,Premium,32255,Winter
bengaluru,kochi,Island,8,7,Hotel,Car,Premium,52080,Winter
bengaluru,kochi,Island,9,2,Hotel,Car,Premium,37800,Winter
bengaluru,kochi,Island,4,2,Resort,Bus,Premium,25200,Winter
bengaluru,kochi,Island,10,7,Resort,Train,Premium,78540,Winter
bengaluru,kochi,Island,8,2,Hotel,Car,Luxury,50400,Winter
bengaluru,kochi,Island,10,7,Resort,Bus,Premium,57120,Winter
bengaluru,kochi,City,9,3,Hotel,Flight,Premium,65856,Winter
bengaluru,kochi,City,9,5,Resort,Flight,Luxury,136800,Winter
bengaluru,kochi,City,3,4,Resort,Flight,Premium,58799,Winter
bengaluru,kochi,City,6,4,Hotel,Bus,Luxury,42240,Winter
bengaluru,kochi,City,9,2,Hotel,Car,Standard,27000,Winter
bengaluru,kochi,City,3,5,Resort,Car,Luxury,58500,Winter
bengaluru,kochi,City,7,8,Hotel,Bus,Luxury,60480,Winter
bengaluru,kochi,City,2,6,Hotel,Train,Luxury,52800,Winter
bengaluru,kochi,City,3,5,Camping,Train,Luxury,34320,Winter
bengaluru,kochi,City,8,8,Hotel,Car,Premium,55440,Winter
bengaluru,jaipur,Cultural,6,4,Hotel,Car,Luxury,52800,Winter
bengaluru,jaipur,Cultural,10,3,Resort,Bus,Luxury,62400,Winter
bengaluru,jaipur,Cultural,9,3,Hotel,Car,Premium,41160,Winter
bengaluru,jaipur,Cultural,10,4,Hotel,Car,Premium,47040,Winter
